t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
2006,7438,7439,7482,7981,8644,32587,33166,33794,36529
136016,115664,115617,134853,133419,117590,97913,110771,45720,68954
60069,3897,3535,8874,1031,68954,1215,48385,48082,49530
106642,5816,87234,40815,56367,2248,1197,5952,362,41566
912,1203,2028,7218,2132,971,4432,5398,6452,1944
745,3751,4306,2355,0,0,0,0,0,0
2291,40,1208,4936,0,0,0,0,0,0
1206,1210,260,541,5956,527,111,2916,2952,2890
1215,1449,1394,1885,1923,1285,101,2467,223,296
318,11,497,314,708,62,728,733,587,273
902,1947,1276,2136,2729,2870,2015,1028,2863,0
342,6874,3258,3535,2657,2502,5445,7438,4641,4025
4034,16,104879,91658,55820,48516,8798,858,593,50
86237,74226,72171,117531,171495,179135,84273,1245,184245,134796
2687,2571,58559,588,527,364,115617,106696,136864,69844
4387,59315,2058,42718,1013,3578,59900,3703,0,0
317,141,480,316,292,150,256,592,252,367
56367,296,44555,4973,2858,46578,608,1203,1265,2959
50,296,497,253,1094,1188,115569,1396,357,112290
3864,3910,2764,0,0,0,0,0,0,0
858,3435,3424,1090,1248,3200,3088,1179,1199,318
102194,58554,55247,5995,1619,40819,110,49530,356,48774
4388,8641,104,4015,953,44972,2706,3785,356,3617
1196,1198,1278,1028,2174,2761,2788,2791,6807,6936
1292,778,1193,1958,750,318,1252,0,0,0
48738,58,50,32,1225,1035,48516,5989,5294,4034
3969,48774,115713,48394,91658,112556,112552,6711,50,296
910,1079,1196,750,7090,6947,3996,6539,2905,2019
3578,3624,3618,3755,3753,3717,337,3580,3785,3623
50872,37729,1527,34405,1610,26776,3578,6377,6016,1196
356,593,1673,802,805,0,0,0,0,0
5445,296,293,163,50,1722,3147,3623,47,628
260,318,350,454,494,555,628,648,95,724
174053,2959,30749,0,0,0,0,0,0,0
3741,3578,3176,1617,3147,106100,106782,5445,5464,82378
150,253,356,454,0,0,0,0,0,0
2502,130087,111617,79134,2694,45672,135887,134853,94677,65088
2959,2706,3752,733,1198,2861,2722,2724,2805,2827
527,55363,541,1198,51255,3993,1200,1196,260,5219
2916,2858,260,2628,2571,111362,1210,380,356,318
779,838,2359,926,1203,7121,3534,6658,3247,7293
3160,3075,1208,1252,1345,2131,2160,2360,2858,3083
648,595,588,480,457,377,364,153,592,589
6016,608,296,593,858,8798,6953,5291,0,0
377,34,356,589,367,357,10,344,165,145
1210,786,494,32,849,836,832,95,736,733
48516,81591,88163,84392,7254,2231,40412,47,55052,5106
296,1089,104879,4034,48516,51540,6870,91658,51086,1729
32,22,25,364,454,595,229,225,509,588
6874,33166,2985,2278,4262,53996,50,70,1676,49272
3269,1721,3548,916,915,910,2915,3035,317,60
3477,3421,48342,2959,2918,48774,54503,55280,1732,1257
2160,2081,2067,1947,1704,1276,1258,1221,1207,1104
42728,70599,47610,8533,71579,7361,4308,48412,7254,69844
4995,1960,58,527,1277,2424,2407,224,2396,1416
1687,1625,1620,1616,1754,1488,1407,1422,1597,1515
47099,150,4148,858,5989,593,527,2529,7022,1035
858,608,296,111,1945,5630,2176,51540,4262,47
168252,50,1198,318,4993,1961,95,1552,832,2571
832,376,494,786,733,736,260,1356,783,9
84772,356,318,4995,33004,1259,71535,56174,106782,136598
2959,68157,48516,7153,3949,2028,32587,0,0,0
2918,2804,2797,2716,2671,2398,2355,2248,2080,2078
593,482,3298,1089,608,3147,6,1957,1960,1617
1125,3535,1298,2359,1256,4011,19,3868,3033,1682
223,1639,1777,1968,44195,1285,2502,2618,4011,1288
7361,6711,2810,112512,741,924,1199,1258,1274,1884
1089,608,47,50,555,593,628,1589,296,16
265,273,593,111,50,47,25,318,337,431
1356,153,161,480,780,208,592,457,165,349
3578,3256,2762,318,1411,1027,3996,356,1610,2002
648,589,4226,541,5418,5445,54286,161,32,49272
680,150,924,3070,2384,2858,2311,6270,4942,1942
4993,91529,64716,58559,33794,1193,318,3114,364,2329
590,539,527,500,597,339,21,344,19,0
57274,2529,38038,40732,40815,2394,2366,2355,79274,83803
551,66097,72226,661,71057,6377,1046,6863,46578,5618
58559,54001,2019,50,4993,2571,3703,2948,593,79132
2324,2396,2436,2501,539,2977,2690,2496,1299,3115
2959,60,3994,4034,4323,4326,2268,1222,1258,1090
417,1288,1303,750,728,21,246,1197,1136,1132
593,608,16,21,586,585,319,410,6,305
1230,750,1080,1089,2290,2300,858,1945,1617,1464
95105,4306,62999,53121,8360,44022,5218,6377,86298,104245
628,6,62,802,17,25,0,0,0,0
2291,2959,7361,4973,1193,308,9010,7254,4014,7669
1178,1185,1193,1199,3503,1150,1059,930,953,1035
3298,2707,2628,4085,0,0,0,0,0,0
6874,6539,6365,68358,68848,70286,5418,73017,293,8636
225,454,0,0,0,0,0,0,0,0
552,519,173,172,367,368,110,480,502,466
6377,745,783,1148,50,3114,4886,1625,2081,44
1244,6993,232,1701,1077,750,2359,5650,2371,3388
4973,26147,1028,910,902,1042,3421,2248,1278,2144
1210,1198,3578,1196,356,296,260,593,33166,1291
44199,858,593,296,50,1221,48516,44665,0,0
4366,4016,81847,66097,68954,5444,8961,3751,60069,52287
296,377,165,593,61,780,786,1036,380,480
3006,1213,3107,1089,1805,61697,0,0,0,0
440,500,356,509,357,34,62,141,539,587
3676,4144,1222,2076,2571,4848,26554,70708,79132,541
56949,135,2694,44840,0,0,0,0,0,0
5445,4993,112556,2571,2028,1291,6539,1196,260,54286
111759,6618,2791,1291,3552,5064,4993,101864,100882,58559
1228,3362,1276,1304,111,608,296,235,858,2908
1276,1260,1237,2351,3134,4334,4160,3983,3224,3910
508,150,62,376,225,454,448,280,282,2
1252,1269,1276,1278,1284,1307,17,1641,2108,2396
296,1704,2329,858,1207,3147,2028,318,2959,593
3951,5902,2836,5991,417,6218,2997,1732,916,910
356,318,296,1193,2959,593,1203,99114,971,1252
5951,4979,5617,7323,509,750,4967,2959,4973,5303
6016,7254,79357,115713,296,1206,318,2712,2329,778
6807,7361,1704,4878,318,1080,102407,778,96821,7254
48780,858,778,1089,319,296,318,3147,4262,7458
910,1517,5952,1080,6807,56367,7153,4816,5902,6936
2313,318,953,2858,1203,1207,1206,81845,1178,5008
750,318,4220,4187,2669,2628,4802,2804,4190,4203
1653,2268,0,0,0,0,0,0,0,0
47,50,1343,6870,48516,296,103235,593,111,1805
293,1527,3578,4993,2959,3275,79132,4033,1961,6300
1035,500,471,356,339,72641,56367,4995,539,3247
5528,5364,5421,5127,5010,5081,2329,2076,920,5015
296,253,2174,5010,4973,4776,4745,2232,2194,2959
168,161,590,150,592,421,434,315,257,151
2762,2858,923,529,4239,3174,4014,356,4370,4054
1278,543,3948,1376,0,0,0,0,0,0
3949,912,45503,81591,1704,85885,4306,1961,4223,2268
1089,608,593,6016,47,0,0,0,0,0
1136,1200,7153,6016,5952,1527,4993,2571,2716,541
4011,2959,858,48516,1221,63082,2023,3510,1193,7361
440,497,500,568,377,161,589,474,586,437
1230,176,6,608,1095,223,852,1265,125,16
5903,4846,589,6,3996,3578,380,2571,1617,1408
4993,1036,1198,2028,1240,589,1291,1917,0,0
1378,0,0,0,0,0,0,0,0,0
2716,2683,51255,2571,1198,58559,589,296,260,91529
2145,2908,3752,0,0,0,0,0,0,0
7361,78574,64957,63082,48394,2959,2858,2329,1704,1193
50,58,97,527,111,6,431,16,555,47
110,260,92259,27773,79132,74458,541,34405,4995,457
34,497,265,223,224,357,11,141,454,500
293,288,362,474,383,110,353,44,368,434
1276,1343,1953,2013,1221,1210,593,858,1031,1036
2329,2858,3950,4034,1090,2692,3176,1222,2712,0
110,589,3624,3753,3977,1466,648,1035,1544,1580
1059,661,802,0,0,0,0,0,0,0
3147,1641,1620,1617,3301,1394,1391,2918,2502,2706
1405,2294,3114,4034,4226,4306,5218,3751,50,364
4979,3476,2395,2160,3949,48774,735,68237,1252,82
318,300,509,62,261,266,110,272,454,282
780,733,662,640,1407,694,653,802,140,724
3578,733,110,2791,1374,2490,2572,2706,2094,3072
339,454,280,539,225,222,21,62,27,440
72998,68954,6377,177765,3996,97913,79132,4886,5349,50872
48774,8132,3578,1584,6502,5418,318,34405,48780,51255
318,1704,2762,1213,587,1961,527,0,0,0
1276,73344,8042,247,111,81932,6620,3362,4211,62250
527,520,5995,3448,0,0,0,0,0,0
5026,858,1036,4993,1196,1210,1221,1610,1617,1625
3551,1267,1299,1089,1344,3448,1617,111,1834,2762
5816,64716,88125,40815,81834,7254,8368,4022,56174,55247
41,2028,1721,2493,1357,389,0,0,0,0
150,410,111,344,317,296,432,231,0,0
1228,1206,1221,1225,1227,3020,3147,3683,1945,2186
527,110,356,480,380,377,300,318,349,367
60069,158966,78499,168252,4973,4886,6377,79132,2571,44191
858,318,3100,1193,3298,1892,0,0,0,0
2329,2959,4878,7147,4880,262,2297,2253,60,0
3176,3160,1947,515,3044,318,2762,928,1221,1177
2617,2716,3578,3793,71530,70286,69844,4993,1210,260
314,337,531,454,73,587,215,412,0,0
27611,589,1222,1208,51709,3994,1196,541,318,79702
1073,33493,3793,368,1101,1917,786,0,0,0
915,4979,2583,1265,1278,1394,2243,1968,2108,4995
441,1230,46578,46970,4878,1258,3148,356,348,4979
1183,1653,1620,1584,1589,1672,1711,0,0,0
1527,1374,316,8636,8361,5944,1200,5378,780,1101
296,2467,44665,48516,5319,50,103235,87306,32587,6322
595,594,2329,1025,1029,1032,356,364,318,50872
165,185,292,590,349,457,434,10,329,316
32,150,555,47,593,546,0,0,0,0
7438,4993,260,92259,34405,1198,6874,2571,49272,5445
17,318,6385,527,272,912,5995,914,953,4857
971,48394,4973,1096,4246,81591,1172,914,8533,89118
6669,1251,64839,7361,8638,81591,44555,86320,215,89804
8529,81834,88125,5816,4896,1485,586,1682,49286,45720
1042,785,786,891,112,733,879,788,842,467
1221,2571,876,1196,4438,4441,4444,260,110,3996
2571,1291,260,1200,1196,1036,589,1210,480,316
89774,8533,8783,5810,1193,1172,1721,1059,112556,318
912,1221,99149,40826,3668,104841,0,0,0,0
112183,1247,112552,96829,86781,111,7361,2324,608,2959
216,454,110,104,62,318,585,7,300,34
4642,4128,1967,1304,56286,2083,0,0,0,0
1282,1175,2355,2542,2700,2997,1747,176,2108,1875
7,762,637,93,21,5,11,27,45,135
1206,318,1250,4034,3052,3101,1674,0,0,0
1213,858,4537,1089,3147,608,2348,48516,527,1206
5060,2289,6552,6708,3481,7149,4034,4979,4246,5013
593,968,4105,74685,1969,0,0,0,0,0
58998,80549,56367,40629,56782,52973,112552,61323,112556,59258
457,339,165,316,39,349,153,589,0,0
2012,1952,3396,0,0,0,0,0,0,0
89745,44191,91529,59387,2683,78105,33004,106642,107406,112852
457,750,1248,1247,2935,50,1198,1265,2791,2599
92259,91529,4993,79132,1198,527,2571,89745,356,115713
50,47,350,0,0,0,0,0,0,0
920,1374,457,1210,923,2858,5349,266,2174,7
1198,1196,260,3703,1610,480,2420,3527,2662,2194
112552,91529,79132,260,59315,48780,168252,33794,2959,2028
480,1198,457,4322,647,1090,2268,2021,0,0
6942,586,500,1028,34,277,1097,902,899,3675
2657,1747,1215,783,468,0,0,0,0,0
2329,0,0,0,0,0,0,0,0,0
2571,2423,2010,1198,1200,1215,1234,1265,1278,1580
802,628,6,79,36,707,103,640,81,140
91658,89745,6539,27611,40148,86377,48516,49272,86345,58559
7143,7361,8861,293,56757,65261,31658,31696,62336,37729
150,151,1303,47,1270,593,6,805,924,1049
1080,1079,3911,1028,5991,40629,1968,2398,899,44199
63876,3967,3448,90430,92259,46578,112290,39516,176413,4973
2470,2455,2450,2193,34,2115,2000,1968,1961,1909
356,2278,85342,5418,1036,58559,55721,3578,2329,33794
733,653,95,780,736,743,648,0,0,0
454,592,480,474,349,292,377,509,329,208
260,5349,593,733,480,10,2640,0,0,0
110,1580,1610,1213,2194,2571,3147,3703,4210,1343
68954,61240,356,4886,4973,2959,1215,127096,1258,2502
1682,5449,1270,2324,30825,85367,64969,34162,4533,3489
2702,2706,2829,2482,2539,2580,2583,2671,2724,2447
371,110,272,150,300,590,445,276,370,419
55946,55765,8984,5989,4963,4954,105504,106782,48516,97304
4090,3396,520,588,595,56152,8368,364,7386,3398
6377,1197,54259,4306,8961,5218,4886,59784,3745,8360
44191,33493,32587,1196,1210,6539,2628,47,589,5349
316,457,50,648,110,10,529,350,380,329
4370,2959,1645,318,356,2858,48780,1653,7361,1206
3785,3825,4388,4526,6287,6373,6482,2792,33794,48385
68,619,626,1042,650,3,0,0,0,0
2427,1438,1909,2641,33794,58293,1779,44,0,0
1965,1249,589,3984,3328,3937,480,3957,293,2530
2020,1300,1211,1199,3102,1224,2919,0,0,0
1393,356,733,1621,7458,6874,3263,1477,3578,8531
2028,2571,2959,1198,318,1036,58559,589,1291,260
89745,2571,112852,102125,122892,122882,93510,77561,58559,86332
166528,92259,2028,96079,5418,112171,59369,51080,49272,1704
541,5747,2571,3396,1610,2890,3175,2641,2968,2944
4034,6016,33166,44199,48516,58295,2231,1221,858,296
2028,2282,2324,2396,2542,2671,2858,1088,1286,899
2506,1089,1090,1208,785,2889,587,2858,593,608
5816,88125,162600,118997,98809,74789,56171,40815,8368,7153
10,2617,2571,1291,1198,1210,1580,1196,260,2628
1968,5065,1222,1073,662,597,3824,5127,223,4062
661,6,34,588,551,539,339,364,36,237
2571,60684,2959,44191,58559,37733,1527,1676,38061,5378
1196,1198,4878,58559,3578,3527,2716,110,1210,1200
56757,6870,1704,1961,44974,2232,63082,61240,356,593
134393,2059,1028,899,95307,86833,72641,86882,74324,107141
104211,94677,7451,1307,88405,1265,117590,88163,60756,96110
47,0,0,0,0,0,0,0,0,0
318,265,261,141,454,17,11,39,539,7
156605,112421,3671,106766,3424,170945,127298,94959,104875,2324
1103,1104,296,3148,46723,0,0,0,0,0
296,329,10,480,434,349,316,185,50,380
527,1197,1270,47099,150,3052,2011,48738,49530,110
1327,1258,1924,253,2513,3499,2456,1345,1339,2160
1208,1704,1193,1183,2020,1079,2352,1230,1307,1292
4262,3213,3114,2761,296,78499,50,858,47,8961
344,231,339,300,296,410,0,0,0,0
2622,430,2599,2598,2583,2581,2580,2567,2506,2558
2826,3082,1321,2723,1261,327,2641,0,0,0
2094,912,480,260,356,318,2947,3153,1263,3066
3155,56389,613,6751,0,0,0,0,0,0
207,110,3408,17,1653,2431,1909,3174,2762,2676
50,32,4226,296,6016,1729,44199,48516,593,858
7361,527,81845,92259,112552,356,4995,3949,2762,2959
2571,69844,91529,68358,59315,58559,76093,49272,122886,96079
133419,96588,80549,76093,7293,5620,3988,1907,4016,149354
10,315,349,350,364,377,380,442,474,480
296,428,858,48516,1089,55820,111,32587,4776,431
6539,6333,110102,4993,2490,120635,3793,3753,3578,122886
1711,50,32,296,2080,3114,3435,2731,933,3445
50,110,300,428,527,16,431,350,766,147
337,318,296,587,593,111,454,509,508,481
1203,1198,1196,356,953,912,527,1283,1253,3578
2628,1210,3578,2571,3717,3793,3623,2716,2490,2722
163,553,150,198,589,592,733,780,457,353
1196,912,858,608,2858,4993,1210,7090,3996,50
653,648,597,4823,586,552,539,494,480,839
509,1186,1094,1711,0,0,0,0,0,0
2288,4878,167746,60069,4720,76093,5618,5444,1688,111913
1394,1449,1617,1663,1674,1777,1912,1923,1292,1288
7361,46578,56367,114265,103543,63082,1197,110771,0,0
260,3703,1210,112,6874,3030,2571,1129,541,1249
4467,26326,2968,2936,1073,1967,1197,1199,1263,26258
50,318,527,858,1203,7361,48780,172591,80463,67255
39,300,14,110,357,410,440,471,500,550
1719,955,2935,994,1041,2925,2762,1103,1104,1112
327,315,265,185,261,328,316,434,442,454
4993,1197,7153,2617,150,6539,69844,41566,1377,8368
296,2324,2997,527,898,902,905,3451,1089,1244
1259,2571,1407,736,1240,2403,919,1036,2000,457
2959,296,858,32587,1653,2117,4776,4963,1704,4878
356,318,296,253,457,786,589,650,613,592
76091,8961,62336,1274,88129,48516,47404,6,40412,30745
